2025-08-27 15:32:35 | INFO     | utils.logging_config | setup_logging:65 | ============================================================
2025-08-27 15:32:35 | WARNING  | utils.gpu_utils | _detect_gpu:74 | [WARN] GPU檢測失敗: module 'cupy' has no attribute 'array'
2025-08-27 15:32:35 | INFO     | utils.gpu_utils | _log_backend_info:97 | [CPU] CPU後端啟用
2025-08-27 15:35:41 | INFO     | utils.logging_config | setup_logging:59 | ============================================================
2025-08-27 15:35:41 | INFO     | utils.logging_config | setup_logging:60 | [SETUP] 無人機群模擬器日誌系統啟動
2025-08-27 15:35:41 | INFO     | utils.logging_config | setup_logging:61 | [DIR] 日誌目錄: C:\Users\User\Documents\drone_simulator\logs
2025-08-27 15:35:41 | INFO     | utils.logging_config | setup_logging:62 | [STATS] 日誌級別: INFO
2025-08-27 15:35:41 | INFO     | utils.logging_config | setup_logging:63 | [DESKTOP] 控制台輸出: 啟用
2025-08-27 15:35:41 | INFO     | utils.logging_config | setup_logging:64 | [FILE] 檔案輸出: 啟用
2025-08-27 15:35:41 | INFO     | utils.logging_config | setup_logging:65 | ============================================================
2025-08-27 15:35:41 | ERROR    | root | main:472 | 導入主程序失敗: cannot import name 'SimulatorConfig' from 'config.settings' (c:\Users\User\Documents\drone_simulator\config\settings.py)
2025-08-27 15:36:15 | INFO     | utils.logging_config | setup_logging:59 | ============================================================
2025-08-27 15:36:15 | INFO     | utils.logging_config | setup_logging:60 | [SETUP] 無人機群模擬器日誌系統啟動
2025-08-27 15:36:15 | INFO     | utils.logging_config | setup_logging:61 | [DIR] 日誌目錄: C:\Users\User\Documents\drone_simulator\logs
2025-08-27 15:36:15 | INFO     | utils.logging_config | setup_logging:62 | [STATS] 日誌級別: INFO
2025-08-27 15:36:15 | INFO     | utils.logging_config | setup_logging:63 | [DESKTOP] 控制台輸出: 啟用
2025-08-27 15:36:15 | INFO     | utils.logging_config | setup_logging:64 | [FILE] 檔案輸出: 啟用
2025-08-27 15:36:15 | INFO     | utils.logging_config | setup_logging:65 | ============================================================
2025-08-27 15:36:15 | ERROR    | root | main:472 | 導入主程序失敗: cannot import name 'SimulatorConfig' from 'config.settings' (c:\Users\User\Documents\drone_simulator\config\settings.py)
2025-08-27 15:44:15 | INFO     | utils.logging_config | setup_logging:59 | ============================================================
2025-08-27 15:44:15 | INFO     | utils.logging_config | setup_logging:60 | [SETUP] 無人機群模擬器日誌系統啟動
2025-08-27 15:44:15 | INFO     | utils.logging_config | setup_logging:61 | [DIR] 日誌目錄: C:\Users\User\Documents\drone_simulator\logs
2025-08-27 15:44:15 | INFO     | utils.logging_config | setup_logging:62 | [STATS] 日誌級別: INFO
2025-08-27 15:44:15 | INFO     | utils.logging_config | setup_logging:63 | [DESKTOP] 控制台輸出: 啟用
2025-08-27 15:44:15 | INFO     | utils.logging_config | setup_logging:64 | [FILE] 檔案輸出: 啟用
2025-08-27 15:44:15 | INFO     | utils.logging_config | setup_logging:65 | ============================================================
2025-08-27 15:44:38 | WARNING  | utils.gpu_utils | _detect_gpu:74 | [WARN] GPU檢測失敗: module 'cupy' has no attribute 'array'
2025-08-27 15:44:38 | INFO     | utils.gpu_utils | _log_backend_info:97 | [CPU] CPU後端啟用
2025-08-27 16:14:24 | INFO     | utils.logging_config | setup_logging:59 | ============================================================
